,id,file,year,newspaper,city,TAG,text
0,22298,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD435_Reporter ilustrado_results/PD435_Reporter ilustrado__1__page_9.json,1890,Reporter ilustrado,Bogotá,NEUTRO,"caro al pudor y grato a la inocencia.  que llora el alba asi suaves corren por el tierno boton de la aromada sin que la manchen con senal ninguna  agita a la violeta embravecido, a la inocente jilma en ese instante, con no menos furor ¡ay! le agitaba el tierno corazon su dura pena .  amor que nunca duerme y siempre busca ocasion de mirar el dueno amado.  hizo a zuinctheba en cierta vez seguirla a prudente distancia y que en el bosque entre el follaje oculto la espiara.  alli advirtio esa tarde la tristeza y la afliccion de jilma.  alli ¡infelice! lo abrasaron los celos, y de entonces jamas tranquilo se encontro un instante.  mas el su angustia y su cruel tormento oculto largo espacio, hasta que un dia de su penar el escondido origen .  dime, jilma preciosa, ¿ no me adoras? triste la pregunto con voz turbada ,estrechando en sus manos varoniles la delicada de su virgen duena ¿ di, no me amas? prosiguio¿ya fincas en otro amor tus castas ilusiones .  ¿ no te amo con delirio, no te adoro? el sol de mi existencia? ¿ por que turbas el facil curso de mi vida entonces? ¿ por que viertes la hiel del infortunio sobre mi corazon? ¿ por que estas triste y aqui afligida por las tardes lloras ?."
1,82425,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF131_El fariseo_results/PF131_El fariseo__8__page_0.json,1852,El fariseo,Bogotá,NEGATIVO,"i aun para que los sacaran tres horas antes del dia, perdoname tu, clemencia  soi aquel que por mi boca doi la prueba de ignorante, al no saber al instante de predicar mi sermon, la historia que el mas bruton sabe de la compania .  perdoname tu clemencia  en vos tengo mi esperanza, a vos me acojo clemencia, que detengas la violencia de aquel grupo de verdades, en que se ven mis maldades en la practica i teoria . perdoname tu, clemencia  .  mil veces yo me arrepiento de la maldita invencion de aquel falso callejon conque al sexo yo ofendi, i que tan ciego me vi que no crei, os ofendia.  perdoname tu, clemencia .  yo jamas mire los lejos ni jamas los resultados, ¡ cuantos hoi, de los casados! tendran si, que vacilar, en pensar, , o no pensar si aquello cierto seria.   perdoname ti, clemencia .  se desterro a mi prelado, i tambien fui cooperante.  porque me crei al instante . lo pudiera reemplazar, esto no hal re de alcanzar obrando con felonia.   perconame tu, clemencia .  comparado el alacran con mi."
2,29381,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_sep_1888__page_10.json,1888,El taller,Bogotá,IRONÍA,"habla de noventa y nueve anos, y noventa y nueve mas de transcurso para que el gobierno pueda entrar en posesion de el, es decir, dos siglos, en cuyo tiempo, probablemente, cuanto a la tarifa de trasportes, q discrecion del sr.  cisneros establecerla durante el tiempo de la construccion del camino, y diez anos mas y mientras que antes se obligaba a cobrar solamente la tercera parte de la tarifa por las tropas del gobierno y los efectos del servicio publico, posteriornente exige la mitad de ella.  una tarifa arbitraria y no establecida con previo acuerdo para ejercer toda la extorsion que se quiera.  aun faltan por analizar algunos otros puntos importantes  pero por temor de cansa vuestra atencion, y por haber sido ya, repetiperiodica, prescindimos de ocuparnos de ellos.  es 6 todas luces de vital importancia la continuacion del ferrocarril de girardot mas, en nuestro humilde concepto, es preferi.  ble a un contrato sumamente gravoso, que la verifique el gobierno por administracion  pues que a la vista esta la mejora de la parte de la direccion, y, porque de ello es tambien miguel guerrero y la acertada direccion del inteligente ingeniero d."
4,46216,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_349__page_3.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"aparato enganoso de la ficcion, esta la leccion provechosa de la ciencia.  el objeto principal de la serrana es presentar tipos notables de la conquista y colonizacion del nuevo mundo, y lugares y escenas notables de la viciosa naturaleza americana.  no se puede negar que los esbozos de serrano y camacho son de mano maestra.  en cuanto a descripciones de sitios y sucesos, creemos que nada deja que desear el parto con que ahora brinda la musa del doctor uribe angel.  algunas de ellas, como las de la tempestad en el mar caribe y la hoguera de la isla, resisten el parangon con las mejores de nuestra lengua.  el lector debe tener presente el genero de tal leyenda, para que no vaya a hacer cargos injustos.  rasgo notabilisimo en la fisonomia espiritual del doctor uribe angel  la extraordinaria flexibilidad de entendimiento.  deja empezado un articulo de costumbres, para pasar a una disquisicion cientifica trunca la disquisicion cientifica, para escribir un capitulo de geografia  interrumpe el capitulo de geografia, para extender una receta acaba la receta y torna a su articulo de costumbres."
6,46568,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_372__page_14.json,1881,Papel Periodico ilustrado,Cali,IRONÍA,"soldado .  infeliz ! esta que revienta por ir a cantarle coplas a su dama.  escena vii.  el soldado, martin.  martin .  me hace reir ese mentecato enamorado.  camarada, hay aqui actualmente dos locos que a cual mas tienen vuelto el juicio  este, que acaba de salir, y el extranjero que esta atolondrando a los miembros del consejo.  soldado .  cuentame que misterios hay por alla.  martin .  te referire lo poco que pude oir.  el genoves les propone a los reyes que lo auxilien para cuatro o cinco meses de navegacion, y que en cambio el les dara un mundo.  dicen que se llama cristobal colon, y que anda de aventurero.  yo no entiendo nada de esas cosas.  todos, menos la reina, se han reido de los proyectos del loco, y dicen que es absurda la idea de ese otro mundo.  aseguran que es herejia creer en esas cosas.  soldado .  si el diablo tendra cogido a ese hombre.  lo que merece el aventurero es que de veras lo despachen al otro mundo para que no venga a inquietar la gente .  pero mira un embozado se acerca a la muralla  voy a ver que quiere."
7,76151,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_338__page_11.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"las tradiciones medrosas, refieren extranisimas consejas alusivas a espantos y brujerias, a animales feroces, 6 a sucesos terribles ocurridos en el monte 6 en los rios.  y entre ellas se ha grabado en mi memoria una, concerniente a la marimba, con la cual me propongo darle fin a estas notas.  muchos anos atras vivio a las orillas de uno de esos rios, que son las unicas vias de comunicacion en la region de que me ocupo, un viejo que trabajaba en un pequeno corte de mina y que se distinguio entre sus vecinos siempre por ser magnifico marimbero  el era quien tocaba por las calles en la fiesta de san francisco, y cra asi mismo el musico obligado de todos los bailes del pueblo.  tenia una hija unica, que era su encanto, y que tambien en cogiendo los tacos extasiaba a todos.  fresco y simpatico el negro rostro, turgente el seno que adornaban los collares de oro de antiguo gusto, y torneados los robustos brazos, era la muchacha, cuando tocaba una caramba o una agua, el hechizo y la desesperacion de los morenos guapos de aquellos contornos pero ninguno logro hacerse dueno de tantos atractivos, porque para ella eran solamente objeto de afectos los ancianos padres, a quienes, envuelta eu la paruma azul que dejaba adivinar las voluptuosas formas, y cubierta la cabeza con el gran sombrero de hojas del pais, acompanaba en las duras faenas de la desierta mina."
8,82866,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF446_El clarin_results/PF446_El clarin__20230923_152907__page_0.json,1898,El clarin,Bogotá,NEGATIVO,"por retardarla provocase ni admitiese  necesario para salvar la republica si  mi rubia amada, ocurriosele a esta, na guerra con los estados unidos.  el que va encargarse en agosto proxi juguetona como siempre, hacerme rabiar.  aun ganando perderia la colonia.  no mo no pone en practica las dotes de  te debo un beso, me dijo.  pero haria sino retardar la perdida con notoque dispone para que su administracion como tengo ya tres relojes, el que acaria agravacion de sus males.   el nue sea modelo, dando el toque de alto y frente a los contratos, monopolios, emibas de regalarme, el de oro, con mi o regimen, madrid.  siones, concesiones, etc . , ¿ donde iremos nombre, que diome papa el dia de mi 1897 y 1898 a parar? hasta ahora la rueda de la primera comunion, y el de plata, con alternabilidad no ha parado ella confiligrana, que me envio mi tio desde italia, quiero darte, al mismo tiempo el 31 de diciembre de 1897, despues tinua movida por una fuerza que todos de haber pasado largos ratos deinsom conocemos los de arriba no alcanzan que una recompensa por tu regalo, un nio en una humilde cama, me puse de a ver a los de abajo el pobre pueblo castigo por no haber sabido elegir otra pie, cubrimne con una sabana vaporosa la inseguridad se ha hecho general las  cosa que yo deseara."
9,20140,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD168_El oso_results/PD168_El oso__3__page_20.json,1845,El oso,"Lima, Perú",IRONÍA,"jillas  ¡ que placer , que dicha, que felicidad! no es extrano el lenguaje del corazon quiero decir el ilioma no puede dejar de tocar al co.  razon.  aplausos en la barra.  las lagrimas buscan lagrimas, el corazon al corazon.   bravo, bravo, en la barra.  por lo expuesto , permitid que no admire las nobles simpatias que de consuno con mi mular corazon, se manifiestan quiza con verguenza mia , con la de vuestro indigno predente.  son sentimientos republicanos y nada mas.  no lo extraneis.  aplausos y bastonazos en la barra.  no extraneis pues mi lenguaje brusco, ¿ que digo? no extraneis , novilisimas bestias , este mi discurso, mio y muy mio  mio , porque es repentino mio, porque nadie me lo ha dictado  mio , porque ninguno me le ha sujerido y mio al fin, porque las circunstancias del pais animal, me lo han inspirado.  si senores.  nada tuviera de extrano , si sien do como soy animal de pezuna entera y no de casco partido, hubiera ocupado pluma y cabeza ajenas  sin embargo , lo dicho , dicho , y a lo llegue al cortijo de mi padre firmemente resuelto a llevar a ejecucion el proyecto que acabo de mani."
11,61754,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_403__page_14.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"en ese sentido esta rectificacion, sirviendonos de excusa para tal error el haber tomado involuntariamente el concurso de bello por el nacional que abrio el gobierno de la union para celebrar el 20 de julio de 1881, en el que obtuvo nuestro amigo tamayo el primer premio en poesia, por su oda  al trabajo.  liceo colombiano.  ienen tal vida propia ya las ciencias, las letras y las artes en la capital de colombia, tan necesaria viene sintiendose la asociacion de aquellos que  las sirven, y la manifestacion de un modo mas incisivo, si posible es, que el de la prensa, de las obras producidaspor medio de conferencias, certamenes y exposicionesque, haciendose interpretes de este sentimiento, los senores d.  jose a.  soffia y d.  jose m.  quijano w . , convocaron para una junta, que vendra a ser el nucleo de lo que en madrid es el ateneo, y que hoy por hoy se llama con el modesto nombre de liceo colombiano.  el acta de instalacion dice acta de instalacion.  por invitacion de los senores d.  jose antonio soffia y d."
12,4550,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD751_El zancudo_results/PD751_El zancudo__11__page_2.json,1890,El zancudo,Santafé de Bogotá,IRONÍA,"hacer el uso que quiera del correo nacional, aunque lo silvan.  articulo 8. o siendo un defecto tan indecoroso ia envidia en los hombres de letras, se prohibe bajo las penas mas severas que los de la nueva granada la alimenten  pero los jovenes vates de la familia reinante y sus allegados y amiguitos, pueden ejercitarse en ella hasta cuatro dias en la semana.  articulo g.  o aunque el zancudo ha perado mucho por lo mucho que ha pitada, lo perdonamos, que menos no hizo el divino jesus con la magdalena.  y como esta hoja sostiene nuestra candidatura al trono, ordenamos que sea leida en preferencia a la defensa catolica, pues de don jose joaquin sabemos decir que no nos tiene muy contentos.  articulo ro.  el consejo de nobles, presidido por el marques de malakoff, queda encargado de hacer cjecutar  esta ordenanza que firmo en esta muy noble y muy lenl santafe de bogota etc.  etc.  aqui la firma.  cigarreria la regeneracion.  medalla de niquel .  exhibicion constante.  calidades y precios extraordinarios humos abundantes   ceniza de lo mejor."
13,27810,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_may_1889__page_1.json,1888,El taller,Bogotá,POSITIVO,"poder dar el sentido nombre de hermano a  liacion a la liga de patriotas.  boulanger, en tanto honrado y laborioso trabajador, a tanto noble corazon, a tanto elevado caracter, es ya el anticipado galardon al, sin duda, escaso y nulo pero bien intencionado contingente que pudiera prestaros en lo fula sociedad filantropica de socorros mutuos, por lo selecto de su personal, por el espiritu que le anima, le hace honor a esta.  ciudad  por doquiera se ven las huellas imperecederas para los seres agradecidos de su suave y benefica influencia.  ¡ cuanto enfermo del cuerpo reanimado y vuelto a la vida, cuanta lagrima enjugada ! cuanto enfermo del alma llevado a las gradas de la el programa de esa sociedad, inspirado en las maximas de la moral cristiana es un himno alzado a la fraternidad universal.  honor y prez para los miembros de la sociedad filantropica de socorros mutuos.  permitaseme una vez mas congratularme por tener el placer de ser uno de los vuestros.  las velas estearicas que fabrica el afamado establecimiento del sr."
15,5879,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD751_El zancudo_results/PD751_El zancudo__12__page_17.json,1890,El zancudo,Santafé de Bogotá,NEGATIVO,"el grito de libertad para si y para todos sus cuerpo de serenos y muchos individuos par aquellas dos fieras selvaticas, simbolo de in hermanos de la americalatina.  ¿ estos senores, poderosos hoy con el sudor de las multitudes, confunden acaso el pueblo con la turba de traidores que les entregaron la republica a cambio del infamante mendrugo de pan conque la sociedad sustenta a sus galeotes ? ¡ esto es inconcebible, inaudito ! a un pueblo que pide instruccion, libertad, garantias, dignificacion .  se le ofrece carne de bichos asesinados en un circo salvajuno, esperando que vaya a lamer la mano postradora que lo azota y envilece  para que olvide siquiera sea un momento, la deshonra y la ignominia en que yace su infortunada patria !.  ¡ no ! ¡ callemes ! tales han sido los actos oficiales en conmemoracion del dia clasico de colombia  y no hubo otra cosa porque mas no puede exigirse de los actuales amos.  ¿ sera esto imbecilidad absoluta ? seran solamente efluvios del plenilunio de la regeneracion 1 16 ambas cosas a la vez ! con mayor lujo se habrian exhibido los regeneradores de la capital huyendo todos, como su excelencia, a son de bombo, en busca de los bosques, para sustraerse eu ellos al recuerdo del 20 de julio."
17,109613,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD415_El correo liberal_results/PD415_El correo liberal__p17054coll26_19150__page_1.json,1888,El correo liberal,Bogotá,NEUTRO,"entre los bordones de su lira, hallara esta poblada de monstruos.  e impaun canto para los de cartagena del lado de afuera, ya que fue tan poco socorrido el que escribio para los que estaban adentro al favor de las murallas.  y los peregrinos c servadores diran a su vez lo que quieren de su muy excelente senor de horca y cuchillo.  ellos diran que su excelencia el presidente de la republica debe exterminar a los liberales, porque en vez de ser eunucos, son hombres porque en vez de querer ser lacayos, de quieren ser duenos de la casa  y ralismo tiene sus aguas del jordan que en lugar de ir contra la independencia, pugnan por afirmarla en esta tierra.  y le daran la feliz nue meten al fuego de las batallas.  fue va de que han establecido una inquisicion, en la cual se arde sin pie vinieron contra el y su familia, de dad a victor hugo, a alejandro modo que no le dejaron de su abundumas, a balzac c . , no con el ani dante fortuna ni lo puramente nemo de quedarse alli solamente, pues cesario para la vida."
18,15083,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF730_Mefistofeles_results/PF730_Mefistofeles__20230917_103124__page_0.json,1897,PF730_Mefistofeles,Bogotá,POSITIVO,"flechazos le regale a sanclemente y despues la presidencia, y despues aun se alzira un acento soberano, tintoreria ma sousan villanamente me acusan villanamente del mismo esmpo do la sangre bumes de la au por todo lo que se ve que te ber digs a ti, asgrada idea, es tan negro mister britto hice componer la casa y que maldig  el nombre del tirano.  que cuando a sudar empieza, que tengo en el camellon, sol eres tu, y aun cuando el astro ruede por donde pasa el maldito, y alli me pase, por bajo hacia el ocseo, con mej res galas le escurre la tinta inglesa.  a mayor gloria de di en construccion nace da nuevo sobre el ata sierra  candidatura liberal tu luz, ta inmenes luz, morir no puede en las plazas de anapoima ha sido proclamada la candidatura del gallardo general gabriel vargas santos aunque sacudan contra ti aus al8 segun me ha dicho pancracio, todas las aves negras de la tierra.  para un ministro costeno para jefe unitario del partido liberal se levantara un palacio.  por la mayoria de los periodicos liberales, la fea millonaria y con gusto nos adherimos f ella."
